Geno,Garden,Year,Latitude,Longitude,River,Block,Row,Column,Harmandia.Cecidomyid,ResidTps_Harmandia.Cecidomyid,Tps_adjusted_Harmandia.Cecidomyid,Phyllocolpa,ResidTps_Phyllocolpa,Tps_adjusted_Phyllocolpa,Chrysomela.scripta,ResidTps_Chrysomela.scripta,Tps_adjusted_Chrysomela.scripta,Blotchminer,ResidTps_Blotchminer,Tps_adjusted_Blotchminer,Phyllocnistis.populiella,ResidTps_Phyllocnistis.populiella,Tps_adjusted_Phyllocnistis.populiella,ShannonWeaverDiversity,Abundance,Richness
BESC-294,Clatskanie,12-Jul,47.84383784,-121.9741185,Skykomish,1,14,3,0,-8.660589857,-1.256095475,1,-0.4768502,0.988037441,0,-0.379520072,0.522165322,0,-0.131230544,0.003600916,0,-0.521020921,-0.085627662,1.329661349,6,4
BESC-86,Clatskanie,12-Jul,46.11770919,-122.9919321,Columbia,1,19,3,8,-2.779149049,4.625345333,2,0.628744334,2.093631974,0,-0.452243912,0.449441482,0,-0.123467566,0.011363894,2,1.53736464,1.972757899,1.674014308,34,7
BESC-869,Clatskanie,12-Jul,47.85920455,-121.8109786,Skykomish,1,31,3,30,15.21030611,22.61480049,1,-0.147890576,1.316997064,0,-0.44368769,0.457997703,0,-0.107197028,0.027634433,0,-0.663666351,-0.228273093,0.404509942,33,4
BESC-246,Clatskanie,12-Jul,47.04953684,-122.1990668,Puyallup,2,69,3,0,-3.264003695,4.140490687,3,1.731829926,3.196717566,0,-0.447968373,0.45371702,0,-0.104522443,0.030309017,0,-0.292108401,0.143284858,1.342125723,16,4
BESC-86,Clatskanie,12-Jul,46.11770919,-122.9919321,Columbia,3,102,3,0,-5.117286799,2.287207583,0,-0.34742019,1.11746745,0,-0.010516433,0.89116896,0,-0.105781091,0.02905037,0,-0.447425026,-0.012031768,0.99502699,9,3
BESC-4,Clatskanie,12-Jul,46.1698489,-123.0500854,Columbia,3,105,3,5,0.705731711,8.110226093,0,-0.209763796,1.255123845,0,0.006416855,0.908102248,0,-0.105154202,0.029677259,0,-0.510249494,-0.074856235,1.544479521,20,5
BESC-29,Clatskanie,12-Jul,46.10611056,-122.8861222,Columbia,2,56,4,0,-3.30596579,4.098528592,1,0.161435202,1.626322843,3,2.335494266,3.23717966,0,-0.103407016,0.031424445,1,0.440134041,0.875527299,1.75192641,21,7
BESC-803,Clatskanie,12-Jul,47.07671827,-122.2017492,Puyallup,3,99,4,8,0.06774238,7.472236762,0,-0.908260948,0.556626693,0,-0.004513864,0.897171529,0,-0.10967559,0.02515587,0,-0.768247818,-0.33285456,0.925129084,13,3
BESC-137,Clatskanie,12-Jul,46.11081616,-122.9802577,Columbia,1,13,5,0,-4.860867454,2.543626928,0,-2.072499387,-0.607611746,0,-0.175447259,0.726238134,0,-0.139150969,-0.004319508,0,-0.519477225,-0.084083966,0.636514168,3,2
BESC-258,Clatskanie,12-Jul,47.84115328,-121.9826349,Skykomish,1,34,5,7,1.26350617,8.668000552,2,1.057804518,2.522692159,0,-0.363916109,0.537769284,0,-0.108677805,0.026153656,2,1.264904737,1.700297996,1.653970476,24,6
BESC-421,Clatskanie,12-Jul,48.52426574,-122.0139794,Skagit,3,91,5,18,5.231745456,12.63623984,2,0.406965157,1.871852797,0,-0.032041028,0.869644365,0,-0.114720532,0.020110928,1,-0.07685873,0.358534529,1.205789507,33,5
BESC-290,Clatskanie,12-Jul,47.84657478,-121.9667487,Skykomish,2,39,6,6,0.321231424,7.725725807,0,-0.608394066,0.856493575,0,-0.340867884,0.56081751,0,-0.107917686,0.026913775,1,0.281161501,0.71655476,1.400510996,27,5
BESC-196,Clatskanie,12-Jul,47.09009537,-122.2140071,Puyallup,3,76,6,7,-1.384558408,6.019935974,0,-1.027948436,0.436939204,0,-0.150948504,0.750736889,0,-0.117479481,0.01735198,1,0.428795542,0.864188801,1.430685336,14,6
BESC-833,Clatskanie,12-Jul,47.03904362,-122.2016154,Puyallup,3,77,6,10,1.049532098,8.45402648,1,-0.068892568,1.395995073,0,-0.136807443,0.76487795,0,-0.117776547,0.017054913,0,-0.612349187,-0.176955929,1.303552415,28,5
HRSO-27-3,Clatskanie,12-Jul,49.28333333,-121.95,Fraser,1,20,7,3,-2.324155695,5.080338687,0,-1.634893157,-0.170005517,0,-0.515663369,0.386022024,0,-0.133712262,0.001119199,0,-0.310074405,0.125318854,1.265856752,13,4
BESC-184,Clatskanie,12-Jul,47.08424429,-122.2045619,Puyallup,3,87,7,20,6.448469803,13.85296419,0,-2.092240075,-0.627352434,0,-0.026227583,0.87545781,0,-0.123028682,0.011802778,3,1.620081939,2.055475197,0.907468311,28,4
BESC-102,Clatskanie,12-Jul,46.11250444,-122.9870014,Columbia,1,18,8,3,-1.587921769,5.816572613,0,-1.865048455,-0.400160814,1,0.295814416,1.19749981,0,-0.140061272,-0.005229812,1,0.591344545,1.026737803,1.585770835,13,6
BESC-103,Clatskanie,12-Jul,46.11250989,-122.9878284,Columbia,2,50,8,10,3.61094346,11.01543784,0,-0.616206122,0.848681518,0,-0.22887827,0.672807124,0,-0.112351625,0.022479836,0,-0.384414706,0.050978552,1.02096077,25,3
