Geno,Latitude,Longitude,River,idALL,Garden,Year,Block,Row,Column,Agromyzid.fly,Blotchminer,CC,Chewing.damage,Chrysomela.scripta,Gypsonoma,EdgeLeafMiner,EdgeFolder,EggMass,HoleDamage,LeafRoller,Phyllocolpa,BottomLeafDamage,TopLeafDamage,Phyllocnistis.populiella,TF,Harmandia.Cecidomyid
BESC-102,46.11250444,-122.9870014,Columbia,BESC-102_Clatskanie_1_18_8,Clatskanie,12-Jul,C1-12,18,8,0,0,0,0,1,0,0,0,0,2,0,0,5,1,1,0,3
BESC-102,46.11250444,-122.9870014,Columbia,BESC-102_Clatskanie_2_61_21,Clatskanie,12-Jul,C2-12,61,21,0,0,10,5,0,0,0,0,0,0,0,2,6,0,0,0,4
BESC-102,46.11250444,-122.9870014,Columbia,BESC-102_Clatskanie_3_92_22,Clatskanie,12-Jul,C3-12,92,22,0,0,0,0,0,0,0,0,0,5,0,2,15,0,0,0,13
BESC-103,46.11250989,-122.9878284,Columbia,BESC-103_Clatskanie_1_15_10,Clatskanie,12-Jul,C1-12,15,10,1,0,0,0,0,0,1,0,1,2,0,9,3,0,0,0,17
BESC-103,46.11250989,-122.9878284,Columbia,BESC-103_Clatskanie_2_50_8,Clatskanie,12-Jul,C2-12,50,8,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,10
BESC-103,46.11250989,-122.9878284,Columbia,BESC-103_Clatskanie_3_94_20,Clatskanie,12-Jul,C3-12,94,20,0,0,7,3,0,0,0,0,0,4,0,1,0,0,0,0,6
BESC-137,46.11081616,-122.9802577,Columbia,BESC-137_Clatskanie_1_13_5,Clatskanie,12-Jul,C1-12,13,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
BESC-137,46.11081616,-122.9802577,Columbia,BESC-137_Clatskanie_2_49_33,Clatskanie,12-Jul,C2-12,49,33,0,0,0,0,6,0,0,0,1,2,0,0,4,0,1,0,2
BESC-137,46.11081616,-122.9802577,Columbia,BESC-137_Clatskanie_3_99_35,Clatskanie,12-Jul,C3-12,99,35,0,0,45,1,0,0,1,0,0,2,0,3,0,0,1,0,1
BESC-15,46.16332702,-123.0436446,Columbia,BESC-15_Clatskanie_1_4_22,Clatskanie,12-Jul,C1-12,4,22,0,0,0,0,0,0,0,0,2,5,0,0,2,0,2,0,1
BESC-15,46.16332702,-123.0436446,Columbia,BESC-15_Clatskanie_2_40_13,Clatskanie,12-Jul,C2-12,40,13,0,0,0,1,0,0,0,0,4,2,0,1,6,0,0,0,0
BESC-15,46.16332702,-123.0436446,Columbia,BESC-15_Clatskanie_3_87_26,Clatskanie,12-Jul,C3-12,87,26,0,0,3,5,0,0,2,0,1,0,0,1,2,0,1,0,0
BESC-184,47.08424429,-122.2045619,Puyallup,BESC-184_Clatskanie_1_18_19,Clatskanie,12-Jul,C1-12,18,19,0,0,0,2,2,0,0,1,0,6,0,0,0,0,0,0,3
BESC-184,47.08424429,-122.2045619,Puyallup,BESC-184_Clatskanie_2_39_26,Clatskanie,12-Jul,C2-12,39,26,0,0,2,0,0,0,0,0,3,0,0,0,2,0,1,0,1
BESC-184,47.08424429,-122.2045619,Puyallup,BESC-184_Clatskanie_3_87_7,Clatskanie,12-Jul,C3-12,87,7,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,20
BESC-196,47.09009537,-122.2140071,Puyallup,BESC-196_Clatskanie_1_15_20,Clatskanie,12-Jul,C1-12,15,20,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1
BESC-196,47.09009537,-122.2140071,Puyallup,BESC-196_Clatskanie_3_76_6,Clatskanie,12-Jul,C3-12,76,6,0,0,1,1,0,0,0,0,1,0,0,0,3,0,1,0,7
BESC-211,47.09827694,-122.2200477,Puyallup,BESC-211_Clatskanie_1_4_13,Clatskanie,12-Jul,C1-12,4,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BESC-211,47.09827694,-122.2200477,Puyallup,BESC-211_Clatskanie_3_90_12,Clatskanie,12-Jul,C3-12,90,12,0,0,0,1,0,0,0,0,3,3,0,3,0,0,0,0,11
BESC-246,47.04953684,-122.1990668,Puyallup,BESC-246_Clatskanie_1_24_22,Clatskanie,12-Jul,C1-12,24,22,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,6
BESC-246,47.04953684,-122.1990668,Puyallup,BESC-246_Clatskanie_2_69_3,Clatskanie,12-Jul,C2-12,69,3,0,0,3,0,0,0,0,0,0,6,0,3,4,0,0,0,0
BESC-258,47.84115328,-121.9826349,Skykomish,BESC-258_Clatskanie_1_34_5,Clatskanie,12-Jul,C1-12,34,5,0,0,0,6,0,0,0,0,5,0,0,2,2,0,2,0,7
BESC-258,47.84115328,-121.9826349,Skykomish,BESC-258_Clatskanie_2_67_23,Clatskanie,12-Jul,C2-12,67,23,0,0,0,0,0,0,0,0,3,5,0,2,6,0,0,0,4
BESC-258,47.84115328,-121.9826349,Skykomish,BESC-258_Clatskanie_3_104_10,Clatskanie,12-Jul,C3-12,104,10,0,0,0,0,0,0,3,0,2,2,0,1,4,0,5,0,13
BESC-29,46.10611056,-122.8861222,Columbia,BESC-29_Clatskanie_2_56_4,Clatskanie,12-Jul,C2-12,56,4,0,0,4,0,3,0,0,0,3,7,0,1,2,0,1,0,0
BESC-29,46.10611056,-122.8861222,Columbia,BESC-29_Clatskanie_3_95_29,Clatskanie,12-Jul,C3-12,95,29,0,0,4,4,0,0,0,0,4,0,0,4,7,0,3,3,18
BESC-290,47.84657478,-121.9667487,Skykomish,BESC-290_Clatskanie_1_24_12,Clatskanie,12-Jul,C1-12,24,12,0,0,0,0,0,0,1,0,0,4,0,2,8,0,0,0,1
BESC-290,47.84657478,-121.9667487,Skykomish,BESC-290_Clatskanie_2_39_6,Clatskanie,12-Jul,C2-12,39,6,0,0,0,0,0,0,0,0,3,6,0,0,11,0,1,0,6
BESC-290,47.84657478,-121.9667487,Skykomish,BESC-290_Clatskanie_3_75_29,Clatskanie,12-Jul,C3-12,75,29,0,0,1,0,0,0,1,0,3,0,0,3,1,0,0,0,7
BESC-294,47.84383784,-121.9741185,Skykomish,BESC-294_Clatskanie_1_14_3,Clatskanie,12-Jul,C1-12,14,3,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0
BESC-294,47.84383784,-121.9741185,Skykomish,BESC-294_Clatskanie_2_42_12,Clatskanie,12-Jul,C2-12,42,12,0,0,0,3,0,0,0,0,0,4,0,2,5,0,0,0,7
BESC-294,47.84383784,-121.9741185,Skykomish,BESC-294_Clatskanie_3_87_22,Clatskanie,12-Jul,C3-12,87,22,0,0,4,0,9,0,2,0,0,2,0,3,0,0,0,0,12
BESC-319,47.85509851,-121.7329027,Skykomish,BESC-319_Clatskanie_1_12_17,Clatskanie,12-Jul,C1-12,12,17,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,4
BESC-319,47.85509851,-121.7329027,Skykomish,BESC-319_Clatskanie_2_50_22,Clatskanie,12-Jul,C2-12,50,22,0,0,0,2,0,0,0,0,1,3,0,2,4,0,1,1,0
BESC-319,47.85509851,-121.7329027,Skykomish,BESC-319_Clatskanie_3_84_20,Clatskanie,12-Jul,C3-12,84,20,0,1,0,4,4,0,2,0,1,8,0,1,7,0,1,0,0
BESC-351,48.49472313,-122.1543214,Skagit,BESC-351_Clatskanie_1_27_10,Clatskanie,12-Jul,C1-12,27,10,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,4
BESC-351,48.49472313,-122.1543214,Skagit,BESC-351_Clatskanie_2_54_28,Clatskanie,12-Jul,C2-12,54,28,0,0,0,0,4,0,0,0,3,3,0,0,2,0,0,0,4
BESC-351,48.49472313,-122.1543214,Skagit,BESC-351_Clatskanie_3_84_27,Clatskanie,12-Jul,C3-12,84,27,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,2
BESC-4,46.1698489,-123.0500854,Columbia,BESC-4_Clatskanie_1_4_16,Clatskanie,12-Jul,C1-12,4,16,0,0,0,0,0,0,0,0,2,1,0,7,1,0,0,1,0
BESC-4,46.1698489,-123.0500854,Columbia,BESC-4_Clatskanie_2_60_33,Clatskanie,12-Jul,C2-12,60,33,0,0,1,0,2,0,1,0,2,1,0,5,5,0,1,0,0
BESC-4,46.1698489,-123.0500854,Columbia,BESC-4_Clatskanie_3_105_3,Clatskanie,12-Jul,C3-12,105,3,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,2,5
BESC-42,46.10231071,-122.8804939,Columbia,BESC-42_Clatskanie_1_17_21,Clatskanie,12-Jul,C1-12,17,21,0,0,0,3,0,0,0,0,0,0,0,2,0,5,0,0,0
BESC-42,46.10231071,-122.8804939,Columbia,BESC-42_Clatskanie_2_41_31,Clatskanie,12-Jul,C2-12,41,31,0,0,0,0,0,0,1,0,2,0,0,9,2,0,0,0,4
